Date,Price,Open,High,Low,Vol.,Change %
Sep 16 2019,27076.82,27146.06,27172.87,27032.56,220.62,-0.0052
Sep 13 2019,27219.52,27216.67,27277.55,27193.95,255.26,0.0014
Sep 12 2019,27182.45,27197.32,27306.73,27105.01,254.65,0.0017
Sep 11 2019,27137.04,26928.05,27137.04,26885.48,272.59,0.0085
Sep 10 2019,26909.43,26805.83,26909.43,26717.05,322.34,0.0028
Sep 09 2019,26835.51,26866.23,26900.83,26762.18,273.12,0.0014
Sep 06 2019,26797.46,26790.25,26860.87,26708.39,209.70,0.0026
Sep 05 2019,26728.15,26603.15,26836.3,26603.15,256.67,0.0141
Sep 04 2019,26355.47,26301.99,26362.35,26244.44,202.71,0.0091
Sep 03 2019,26118.02,26198.26,26198.26,25978.22,223.21,-0.0108
Aug 30 2019,26403.28,26476.39,26514.62,26295.59,219.08,0.0016
Aug 29 2019,26362.25,26249.09,26408.84,26185.71,212.19,0.0125
Aug 28 2019,26036.1,25712.99,26041.57,25637.43,207.07,0.01
Aug 27 2019,25777.9,26014.46,26054.02,25721.85,263.53,-0.0047
Aug 26 2019,25898.83,25826.05,25941.25,25716.39,222.78,0.0105
Aug 23 2019,25628.9,26134.21,26320.29,25507.18,364.26,-0.0237
Aug 22 2019,26252.24,26271.64,26388.78,26099.01,222.81,0.0019
Aug 21 2019,26202.73,26145.36,26268.32,26141.77,208.79,0.0093
Aug 20 2019,25962.44,26086.86,26160.12,25952,238.10,-0.0066
Aug 19 2019,26135.79,26020.06,26222.32,26020.06,252.64,0.0096
Aug 16 2019,25886.01,25678.17,25929.65,25678.17,276.21,0.012
Aug 15 2019,25579.39,25514.25,25639.69,25339.6,335.80,0.0039
Aug 14 2019,25479.42,26035.08,26035.08,25471.59,357.00,-0.0305
Aug 13 2019,26279.91,25888.88,26426.97,25833.25,309.61,0.0144
Aug 12 2019,25907.37,26169.91,26178.95,25824.94,200.58,-0.0145
Aug 09 2019,26287.44,26337.09,26413.36,26097.64,241.93,-0.0034
Aug 08 2019,26378.19,26086.52,26383.61,26038.1,283.59,0.0143
Aug 07 2019,26007.07,25814.22,26073.21,25440.39,350.09,-0.0009
Aug 06 2019,26029.52,25810.62,26038.68,25710.87,322.97,0.0121
Aug 05 2019,25717.74,26259.23,26259.23,25523.38,423.37,-0.029
Aug 02 2019,26485.01,26528.66,26570.02,26249.22,335.72,-0.0037
Aug 01 2019,26583.42,26879.86,27175.59,26548.71,390.49,-0.0105
Jul 31 2019,26864.27,27244.67,27281.65,26719.6,389.00,-0.0123
Jul 30 2019,27198.02,27145.39,27224.36,27069.86,293.25,-0.0009
Jul 29 2019,27221.35,27192.24,27275.85,27178.06,259.32,0.0011
Jul 26 2019,27192.45,27166,27213.7,27123.25,243.20,0.0019
Jul 25 2019,27140.98,27247.39,27298.43,27062.48,244.02,-0.0047
Jul 24 2019,27269.97,27262.24,27291.04,27191.12,245.88,-0.0029
Jul 23 2019,27349.19,27231.86,27368.81,27204.58,250.80,0.0065
