Date,predicted_mean
3/7/2014,16262.63
3/10/2014,16203.768
3/11/2014,16099.931
3/12/2014,16001.931
3/13/2014,16072.055
3/14/2014,16148.933
3/17/2014,16125.34
3/18/2014,16154.615
3/19/2014,16263.076
3/20/2014,16273.477
3/21/2014,16246.361
3/24/2014,16198.631
3/25/2014,16161.493
3/26/2014,16224.745
3/27/2014,16310.304
3/28/2014,16377.975
3/31/2014,16425.129
4/1/2014,16444.02
4/2/2014,16321.681
4/3/2014,16219.483
4/4/2014,16150.082
4/7/2014,16224.658
4/8/2014,16173.694
4/9/2014,16023.029
4/10/2014,16010.84
4/11/2014,16086.658
4/14/2014,16233.826
4/15/2014,16286.911
4/16/2014,16310.006
4/17/2014,16366.532
4/21/2014,16346.086
4/22/2014,16347.678
4/23/2014,16287.299
4/24/2014,16312.921
4/25/2014,16370.022
4/28/2014,16395.756
4/29/2014,16418.812
4/30/2014,16365.023
5/1/2014,16372.601
5/2/2014,16323.229
5/5/2014,16364.469
5/6/2014,16367.375
5/7/2014,16439.943
5/8/2014,16507.752
5/9/2014,16547.598
5/12/2014,16479.15
5/13/2014,16405.863
5/14/2014,16390.49
5/15/2014,16360.2295
5/16/2014,16318.177
5/19/2014,16328.335
5/20/2014,16390.865
5/21/2014,16441.81
5/22/2014,16497.705
5/23/2014,16514.807
5/27/2014,16550.256
5/28/2014,16551.414
5/29/2014,16608.693
5/30/2014,16599.793
6/2/2014,16585.9
6/3/2014,16668.662
6/4/2014,16753.027
6/5/2014,16796.48
6/6/2014,16760.488
6/9/2014,16717.924
6/10/2014,16627.398
6/11/2014,16612.967
6/12/2014,16632.168
6/13/2014,16660.814
6/16/2014,16726.799
6/17/2014,16754.1
6/18/2014,16834.012
6/19/2014,16869.514
6/20/2014,16725.098
6/23/2014,16712.676
6/24/2014,16703.428
6/25/2014,16698.64
6/26/2014,16738.58
6/27/2014,16794.975
6/30/2014,16812.809
7/1/2014,16886.455
7/2/2014,16853.518
7/3/2014,16812.646
7/7/2014,16806.635
7/8/2014,16810.707
7/9/2014,16797.078
7/10/2014,16859.197
7/11/2014,16915.45
7/14/2014,16957.604
7/15/2014,16926.938
7/16/2014,16919.137
7/17/2014,16939.121
7/18/2014,16936.945
7/21/2014,16945.332
7/22/2014,16932.834
7/23/2014,16883.57
7/24/2014,16817.54
7/25/2014,16801.377
7/28/2014,16726.934
7/29/2014,16536.934
7/30/2014,16450.375
7/31/2014,16395.992
8/1/2014,16340.08
8/4/2014,16325.137
8/5/2014,16288.07
8/6/2014,16368.523
8/7/2014,16428.557
8/8/2014,16433.1
8/11/2014,16472.102
8/12/2014,16530.527
8/13/2014,16544.018
8/14/2014,16632.107
8/15/2014,16749.402
8/18/2014,16831.11
8/19/2014,16864.66
8/20/2014,16889.025
8/21/2014,16905.482
8/22/2014,16928.283
8/25/2014,16952.97
8/26/2014,16944.445
8/27/2014,16934.996
8/28/2014,16947.697
8/29/2014,16929.256
9/2/2014,16920.816
9/3/2014,16941.906
9/4/2014,16961.32
9/5/2014,16919.816
9/8/2014,16892.732
9/9/2014,16881.201
9/10/2014,16865.234
9/11/2014,16880.473
9/12/2014,16939.166
9/15/2014,17003.932
9/16/2014,17078.945
9/17/2014,17152.025
9/18/2014,17157.916
9/19/2014,16981.004
9/22/2014,16977.887
9/23/2014,16948.82
9/24/2014,16914.354
9/25/2014,16939.738
9/26/2014,16899.145
9/29/2014,16786.4
9/30/2014,16696.262
10/1/2014,16769.205
10/2/2014,16841.727
10/3/2014,16722.986
10/6/2014,16741.818
10/7/2014,16652.68
10/8/2014,16480.123
10/9/2014,16358.874
10/10/2014,16189.586
10/13/2014,16077.87
10/14/2014,16057.727
10/15/2014,16148.645
10/16/2014,16264.785
10/17/2014,16364.952
10/20/2014,16402.8
10/21/2014,16473.783
10/22/2014,16601.148
10/23/2014,16685.816
10/24/2014,16755.525
10/27/2014,16831.562
10/28/2014,16983.873
10/29/2014,17160.83
10/30/2014,17238.617
10/31/2014,17244.81
11/3/2014,17291.062
11/4/2014,17358.893
11/5/2014,17401.002
11/6/2014,17431.293
11/7/2014,17444.77
11/10/2014,17455.008
11/11/2014,17474.451
11/12/2014,17521.87
11/13/2014,17522.736
11/14/2014,17532.541
11/17/2014,17544.344
11/18/2014,17560.486
11/19/2014,17630.34
11/20/2014,17688.334
11/21/2014,17667.318
11/24/2014,17675.213
11/25/2014,17642.914
11/26/2014,17645.107
11/28/2014,17693.707
12/1/2014,17731.725
12/2/2014,17771.186
12/3/2014,17762.246
12/4/2014,17720.465
12/5/2014,17669.611
12/8/2014,17530.49
12/9/2014,17452.293
12/10/2014,17283.701
12/11/2014,17150.059
12/12/2014,17058.352
12/15/2014,17178.541
12/16/2014,17422.969
12/17/2014,17677.709
12/18/2014,17838.717
12/19/2014,17855.254
12/22/2014,17887.79
12/23/2014,17898.072
12/24/2014,17874.867
12/26/2014,17837.053
12/29/2014,17755.385
12/30/2014,17660.268
12/31/2014,17489.639
1/2/2015,17332.9
1/5/2015,17388.219
1/6/2015,17585.04
1/7/2015,17637.3
1/8/2015,17595.576
1/9/2015,17497.91
1/12/2015,17358.19
1/13/2015,17234.42
1/14/2015,17292.365
1/15/2015,17365.068
1/16/2015,17439.998
1/20/2015,17552.94
1/21/2015,17576.287
1/22/2015,17473.447
1/23/2015,17355.066
1/26/2015,17207.738
1/27/2015,17199.248
1/28/2015,17136.643
1/29/2015,17206.682
